"","GEOGRAPHY_CODE","CELL_NAME","CELL_CODE","CELL_TYPE","MEASURES_NAME","OBS_VALUE"
"1","E01004307","All categories: Distance travelled to work","QS702EW0001","Distance travelled to work","Value",1367
"2","E01004307","Less than 2km","QS702EW0002","Distance travelled to work","Value",545
"3","E01004307","2km to less than 5km","QS702EW0003","Distance travelled to work","Value",351
"4","E01004307","5km to less than 10km","QS702EW0004","Distance travelled to work","Value",134
"5","E01004307","10km to less than 20km","QS702EW0005","Distance travelled to work","Value",46
"6","E01004307","20km to less than 30km","QS702EW0006","Distance travelled to work","Value",6
"7","E01004307","30km to less than 40km","QS702EW0007","Distance travelled to work","Value",6
"8","E01004307","40km to less than 60km","QS702EW0008","Distance travelled to work","Value",14
"9","E01004307","60km and over","QS702EW0009","Distance travelled to work","Value",29
"10","E01004307","Work mainly at or from home","QS702EW0010","Distance travelled to work","Value",133
"11","E01004307","Other","QS702EW0011","Distance travelled to work","Value",103
"12","E01004307","Total distance (km)","QS702EW0012","Distance travelled to work","Value",10179.4
"13","E01004307","Average distance (km)","QS702EW0013","Distance travelled to work","Value",9
"14","E01004307","All categories: Distance travelled to work","QS702EW0001","Distance travelled to work","Value",0
"15","E01004307","Less than 2km","QS702EW0002","Distance travelled to work","Value",0
"16","E01004307","2km to less than 5km","QS702EW0003","Distance travelled to work","Value",0
"17","E01004307","5km to less than 10km","QS702EW0004","Distance travelled to work","Value",0
"18","E01004307","10km to less than 20km","QS702EW0005","Distance travelled to work","Value",0
"19","E01004307","20km to less than 30km","QS702EW0006","Distance travelled to work","Value",0
"20","E01004307","30km to less than 40km","QS702EW0007","Distance travelled to work","Value",0
"21","E01004307","40km to less than 60km","QS702EW0008","Distance travelled to work","Value",0
"22","E01004307","60km and over","QS702EW0009","Distance travelled to work","Value",0
"23","E01004307","Work mainly at or from home","QS702EW0010","Distance travelled to work","Value",0
"24","E01004307","Other","QS702EW0011","Distance travelled to work","Value",0
"25","E01004307","Total distance (km)","QS702EW0012","Distance travelled to work","Value",0
"26","E01004307","Average distance (km)","QS702EW0013","Distance travelled to work","Value",NA
"27","E01000001","All categories: Distance travelled to work","QS702EW0001","Distance travelled to work","Value",926
"28","E01000001","Less than 2km","QS702EW0002","Distance travelled to work","Value",452
"29","E01000001","2km to less than 5km","QS702EW0003","Distance travelled to work","Value",152
"30","E01000001","5km to less than 10km","QS702EW0004","Distance travelled to work","Value",83
"31","E01000001","10km to less than 20km","QS702EW0005","Distance travelled to work","Value",23
"32","E01000001","20km to less than 30km","QS702EW0006","Distance travelled to work","Value",3
"33","E01000001","30km to less than 40km","QS702EW0007","Distance travelled to work","Value",7
"34","E01000001","40km to less than 60km","QS702EW0008","Distance travelled to work","Value",3
"35","E01000001","60km and over","QS702EW0009","Distance travelled to work","Value",10
"36","E01000001","Work mainly at or from home","QS702EW0010","Distance travelled to work","Value",145
"37","E01000001","Other","QS702EW0011","Distance travelled to work","Value",48
"38","E01000001","Total distance (km)","QS702EW0012","Distance travelled to work","Value",4427.8
"39","E01000001","Average distance (km)","QS702EW0013","Distance travelled to work","Value",6
"40","E01000001","All categories: Distance travelled to work","QS702EW0001","Distance travelled to work","Value",0
"41","E01000001","Less than 2km","QS702EW0002","Distance travelled to work","Value",0
"42","E01000001","2km to less than 5km","QS702EW0003","Distance travelled to work","Value",0
"43","E01000001","5km to less than 10km","QS702EW0004","Distance travelled to work","Value",0
"44","E01000001","10km to less than 20km","QS702EW0005","Distance travelled to work","Value",0
"45","E01000001","20km to less than 30km","QS702EW0006","Distance travelled to work","Value",0
"46","E01000001","30km to less than 40km","QS702EW0007","Distance travelled to work","Value",0
"47","E01000001","40km to less than 60km","QS702EW0008","Distance travelled to work","Value",0
"48","E01000001","60km and over","QS702EW0009","Distance travelled to work","Value",0
"49","E01000001","Work mainly at or from home","QS702EW0010","Distance travelled to work","Value",0
"50","E01000001","Other","QS702EW0011","Distance travelled to work","Value",0
"51","E01000001","Total distance (km)","QS702EW0012","Distance travelled to work","Value",0
"52","E01000001","Average distance (km)","QS702EW0013","Distance travelled to work","Value",NA
"53","E01033490","All categories: Distance travelled to work","QS702EW0001","Distance travelled to work","Value",720
"54","E01033490","Less than 2km","QS702EW0002","Distance travelled to work","Value",348
"55","E01033490","2km to less than 5km","QS702EW0003","Distance travelled to work","Value",134
"56","E01033490","5km to less than 10km","QS702EW0004","Distance travelled to work","Value",67
"57","E01033490","10km to less than 20km","QS702EW0005","Distance travelled to work","Value",35
"58","E01033490","20km to less than 30km","QS702EW0006","Distance travelled to work","Value",4
"59","E01033490","30km to less than 40km","QS702EW0007","Distance travelled to work","Value",5
"60","E01033490","40km to less than 60km","QS702EW0008","Distance travelled to work","Value",7
"61","E01033490","60km and over","QS702EW0009","Distance travelled to work","Value",6
"62","E01033490","Work mainly at or from home","QS702EW0010","Distance travelled to work","Value",69
"63","E01033490","Other","QS702EW0011","Distance travelled to work","Value",45
"64","E01033490","Total distance (km)","QS702EW0012","Distance travelled to work","Value",3357.8
"65","E01033490","Average distance (km)","QS702EW0013","Distance travelled to work","Value",5.5
"66","E01033490","All categories: Distance travelled to work","QS702EW0001","Distance travelled to work","Value",0
"67","E01033490","Less than 2km","QS702EW0002","Distance travelled to work","Value",0
"68","E01033490","2km to less than 5km","QS702EW0003","Distance travelled to work","Value",0
"69","E01033490","5km to less than 10km","QS702EW0004","Distance travelled to work","Value",0
"70","E01033490","10km to less than 20km","QS702EW0005","Distance travelled to work","Value",0
"71","E01033490","20km to less than 30km","QS702EW0006","Distance travelled to work","Value",0
"72","E01033490","30km to less than 40km","QS702EW0007","Distance travelled to work","Value",0
"73","E01033490","40km to less than 60km","QS702EW0008","Distance travelled to work","Value",0
"74","E01033490","60km and over","QS702EW0009","Distance travelled to work","Value",0
"75","E01033490","Work mainly at or from home","QS702EW0010","Distance travelled to work","Value",0
"76","E01033490","Other","QS702EW0011","Distance travelled to work","Value",0
"77","E01033490","Total distance (km)","QS702EW0012","Distance travelled to work","Value",0
"78","E01033490","Average distance (km)","QS702EW0013","Distance travelled to work","Value",NA
"79","E01000002","All categories: Distance travelled to work","QS702EW0001","Distance travelled to work","Value",910
"80","E01000002","Less than 2km","QS702EW0002","Distance travelled to work","Value",392
"81","E01000002","2km to less than 5km","QS702EW0003","Distance travelled to work","Value",187
"82","E01000002","5km to less than 10km","QS702EW0004","Distance travelled to work","Value",78
"83","E01000002","10km to less than 20km","QS702EW0005","Distance travelled to work","Value",21
"84","E01000002","20km to less than 30km","QS702EW0006","Distance travelled to work","Value",6
