"","GEOGRAPHY_CODE","CELL_NAME","CELL_CODE","CELL_TYPE","MEASURES_NAME","OBS_VALUE"
"1","E01004307","All categories: Household size","QS406EW0001","Household Size","Value",1014
"2","E01004307","All categories: Household size","QS406EW0001","Household Size","Percent",100
"3","E01004307","1 person in household","QS406EW0002","Household Size","Value",471
"4","E01004307","1 person in household","QS406EW0002","Household Size","Percent",46.4
"5","E01004307","2 people in household","QS406EW0003","Household Size","Value",368
"6","E01004307","2 people in household","QS406EW0003","Household Size","Percent",36.3
"7","E01004307","3 people in household","QS406EW0004","Household Size","Value",95
"8","E01004307","3 people in household","QS406EW0004","Household Size","Percent",9.4
"9","E01004307","4 people in household","QS406EW0005","Household Size","Value",53
"10","E01004307","4 people in household","QS406EW0005","Household Size","Percent",5.2
"11","E01004307","5 people in household","QS406EW0006","Household Size","Value",14
"12","E01004307","5 people in household","QS406EW0006","Household Size","Percent",1.4
"13","E01004307","6 people in household","QS406EW0007","Household Size","Value",10
"14","E01004307","6 people in household","QS406EW0007","Household Size","Percent",1
"15","E01004307","7 people in household","QS406EW0008","Household Size","Value",1
"16","E01004307","7 people in household","QS406EW0008","Household Size","Percent",0.1
"17","E01004307","8 or more people in household","QS406EW0009","Household Size","Value",2
"18","E01004307","8 or more people in household","QS406EW0009","Household Size","Percent",0.2
"19","E01004307","All categories: Household size","QS406EW0001","Household Size","Value",0
"20","E01004307","All categories: Household size","QS406EW0001","Household Size","Percent",NA
"21","E01004307","1 person in household","QS406EW0002","Household Size","Value",0
"22","E01004307","1 person in household","QS406EW0002","Household Size","Percent",NA
"23","E01004307","2 people in household","QS406EW0003","Household Size","Value",0
"24","E01004307","2 people in household","QS406EW0003","Household Size","Percent",NA
"25","E01004307","3 people in household","QS406EW0004","Household Size","Value",0
"26","E01004307","3 people in household","QS406EW0004","Household Size","Percent",NA
"27","E01004307","4 people in household","QS406EW0005","Household Size","Value",0
"28","E01004307","4 people in household","QS406EW0005","Household Size","Percent",NA
"29","E01004307","5 people in household","QS406EW0006","Household Size","Value",0
"30","E01004307","5 people in household","QS406EW0006","Household Size","Percent",NA
"31","E01004307","6 people in household","QS406EW0007","Household Size","Value",0
"32","E01004307","6 people in household","QS406EW0007","Household Size","Percent",NA
"33","E01004307","7 people in household","QS406EW0008","Household Size","Value",0
"34","E01004307","7 people in household","QS406EW0008","Household Size","Percent",NA
"35","E01004307","8 or more people in household","QS406EW0009","Household Size","Value",0
"36","E01004307","8 or more people in household","QS406EW0009","Household Size","Percent",NA
"37","E01000001","All categories: Household size","QS406EW0001","Household Size","Value",876
"38","E01000001","All categories: Household size","QS406EW0001","Household Size","Percent",100
"39","E01000001","1 person in household","QS406EW0002","Household Size","Value",453
"40","E01000001","1 person in household","QS406EW0002","Household Size","Percent",51.7
"41","E01000001","2 people in household","QS406EW0003","Household Size","Value",311
