"","GEOGRAPHY_CODE","CELL_NAME","CELL_CODE","CELL_TYPE","MEASURES_NAME","OBS_VALUE"
"1","E01004307","All categories: Method of travel to work","QS701EW0001","Method of Travel to Work","Value",2031
"2","E01004307","All categories: Method of travel to work","QS701EW0001","Method of Travel to Work","Percent",100
"3","E01004307","Work mainly at or from home","QS701EW0002","Method of Travel to Work","Value",88
"4","E01004307","Work mainly at or from home","QS701EW0002","Method of Travel to Work","Percent",4.3
"5","E01004307","Underground, metro, light rail, tram","QS701EW0003","Method of Travel to Work","Value",350
"6","E01004307","Underground, metro, light rail, tram","QS701EW0003","Method of Travel to Work","Percent",17.2
"7","E01004307","Train","QS701EW0004","Method of Travel to Work","Value",53
"8","E01004307","Train","QS701EW0004","Method of Travel to Work","Percent",2.6
"9","E01004307","Bus, minibus or coach","QS701EW0005","Method of Travel to Work","Value",144
"10","E01004307","Bus, minibus or coach","QS701EW0005","Method of Travel to Work","Percent",7.1
"11","E01004307","Taxi","QS701EW0006","Method of Travel to Work","Value",11
"12","E01004307","Taxi","QS701EW0006","Method of Travel to Work","Percent",0.5
"13","E01004307","Motorcycle, scooter or moped","QS701EW0007","Method of Travel to Work","Value",9
"14","E01004307","Motorcycle, scooter or moped","QS701EW0007","Method of Travel to Work","Percent",0.4
"15","E01004307","Driving a car or van","QS701EW0008","Method of Travel to Work","Value",44
"16","E01004307","Driving a car or van","QS701EW0008","Method of Travel to Work","Percent",2.2
"17","E01004307","Passenger in a car or van","QS701EW0009","Method of Travel to Work","Value",5
"18","E01004307","Passenger in a car or van","QS701EW0009","Method of Travel to Work","Percent",0.2
"19","E01004307","Bicycle","QS701EW0010","Method of Travel to Work","Value",96
"20","E01004307","Bicycle","QS701EW0010","Method of Travel to Work","Percent",4.7
"21","E01004307","On foot","QS701EW0011","Method of Travel to Work","Value",557
"22","E01004307","On foot","QS701EW0011","Method of Travel to Work","Percent",27.4
"23","E01004307","Other method of travel to work","QS701EW0012","Method of Travel to Work","Value",10
"24","E01004307","Other method of travel to work","QS701EW0012","Method of Travel to Work","Percent",0.5
"25","E01004307","Not in employment","QS701EW0013","Method of Travel to Work","Value",664
"26","E01004307","Not in employment","QS701EW0013","Method of Travel to Work","Percent",32.7
"27","E01004307","All categories: Method of travel to work","QS701EW0001","Method of Travel to Work","Value",0
"28","E01004307","All categories: Method of travel to work","QS701EW0001","Method of Travel to Work","Percent",NA
"29","E01004307","Work mainly at or from home","QS701EW0002","Method of Travel to Work","Value",0
"30","E01004307","Work mainly at or from home","QS701EW0002","Method of Travel to Work","Percent",NA
"31","E01004307","Underground, metro, light rail, tram","QS701EW0003","Method of Travel to Work","Value",0
"32","E01004307","Underground, metro, light rail, tram","QS701EW0003","Method of Travel to Work","Percent",NA
"33","E01004307","Train","QS701EW0004","Method of Travel to Work","Value",0
"34","E01004307","Train","QS701EW0004","Method of Travel to Work","Percent",NA
"35","E01004307","Bus, minibus or coach","QS701EW0005","Method of Travel to Work","Value",0
"36","E01004307","Bus, minibus or coach","QS701EW0005","Method of Travel to Work","Percent",NA
"37","E01004307","Taxi","QS701EW0006","Method of Travel to Work","Value",0
"38","E01004307","Taxi","QS701EW0006","Method of Travel to Work","Percent",NA
"39","E01004307","Motorcycle, scooter or moped","QS701EW0007","Method of Travel to Work","Value",0
"40","E01004307","Motorcycle, scooter or moped","QS701EW0007","Method of Travel to Work","Percent",NA
"41","E01004307","Driving a car or van","QS701EW0008","Method of Travel to Work","Value",0
"42","E01004307","Driving a car or van","QS701EW0008","Method of Travel to Work","Percent",NA
"43","E01004307","Passenger in a car or van","QS701EW0009","Method of Travel to Work","Value",0
"44","E01004307","Passenger in a car or van","QS701EW0009","Method of Travel to Work","Percent",NA
"45","E01004307","Bicycle","QS701EW0010","Method of Travel to Work","Value",0
"46","E01004307","Bicycle","QS701EW0010","Method of Travel to Work","Percent",NA
"47","E01004307","On foot","QS701EW0011","Method of Travel to Work","Value",0
"48","E01004307","On foot","QS701EW0011","Method of Travel to Work","Percent",NA
"49","E01004307","Other method of travel to work","QS701EW0012","Method of Travel to Work","Value",0
"50","E01004307","Other method of travel to work","QS701EW0012","Method of Travel to Work","Percent",NA
"51","E01004307","Not in employment","QS701EW0013","Method of Travel to Work","Value",0
"52","E01004307","Not in employment","QS701EW0013","Method of Travel to Work","Percent",NA
"53","E01000001","All categories: Method of travel to work","QS701EW0001","Method of Travel to Work","Value",1221
"54","E01000001","All categories: Method of travel to work","QS701EW0001","Method of Travel to Work","Percent",100
"55","E01000001","Work mainly at or from home","QS701EW0002","Method of Travel to Work","Value",113
"56","E01000001","Work mainly at or from home","QS701EW0002","Method of Travel to Work","Percent",9.3
"57","E01000001","Underground, metro, light rail, tram","QS701EW0003","Method of Travel to Work","Value",190
"58","E01000001","Underground, metro, light rail, tram","QS701EW0003","Method of Travel to Work","Percent",15.6
"59","E01000001","Train","QS701EW0004","Method of Travel to Work","Value",37
"60","E01000001","Train","QS701EW0004","Method of Travel to Work","Percent",3
"61","E01000001","Bus, minibus or coach","QS701EW0005","Method of Travel to Work","Value",33
"62","E01000001","Bus, minibus or coach","QS701EW0005","Method of Travel to Work","Percent",2.7
"63","E01000001","Taxi","QS701EW0006","Method of Travel to Work","Value",10
"64","E01000001","Taxi","QS701EW0006","Method of Travel to Work","Percent",0.8
"65","E01000001","Motorcycle, scooter or moped","QS701EW0007","Method of Travel to Work","Value",5
"66","E01000001","Motorcycle, scooter or moped","QS701EW0007","Method of Travel to Work","Percent",0.4
"67","E01000001","Driving a car or van","QS701EW0008","Method of Travel to Work","Value",28
"68","E01000001","Driving a car or van","QS701EW0008","Method of Travel to Work","Percent",2.3
"69","E01000001","Passenger in a car or van","QS701EW0009","Method of Travel to Work","Value",4
